study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA400072	SAMN08049791	SRX3558845	SRR6468499	408170	human gut metagenome	G85089	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468499/SRR6468499.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468499/SRR6468499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468499/SRR6468499_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/009/SRR6468499
PRJNA400072	SAMN08049792	SRX3558844	SRR6468500	408170	human gut metagenome	G85161	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468500/SRR6468500.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468500/SRR6468500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468500/SRR6468500_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/000/SRR6468500
PRJNA400072	SAMN08049793	SRX3558843	SRR6468501	408170	human gut metagenome	G85315	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468501/SRR6468501.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468501/SRR6468501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468501/SRR6468501_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/001/SRR6468501
PRJNA400072	SAMN08049663	SRX3558842	SRR6468502	408170	human gut metagenome	G36349	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468502/SRR6468502.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468502/SRR6468502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468502/SRR6468502_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/002/SRR6468502
PRJNA400072	SAMN08049824	SRX3558841	SRR6468503	408170	human gut metagenome	G82627	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468503/SRR6468503.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468503/SRR6468503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468503/SRR6468503_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/003/SRR6468503
PRJNA400072	SAMN08049760	SRX3558840	SRR6468504	408170	human gut metagenome	G72699	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468504/SRR6468504.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468504/SRR6468504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468504/SRR6468504_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/004/SRR6468504
PRJNA400072	SAMN08049759	SRX3558839	SRR6468505	408170	human gut metagenome	G72671	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468505/SRR6468505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468505/SRR6468505_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/005/SRR6468505
PRJNA400072	SAMN08049762	SRX3558838	SRR6468506	408170	human gut metagenome	G72701	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468506/SRR6468506.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468506/SRR6468506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468506/SRR6468506_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/006/SRR6468506
PRJNA400072	SAMN08049761	SRX3558837	SRR6468507	408170	human gut metagenome	G72670	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468507/SRR6468507.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468507/SRR6468507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468507/SRR6468507_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/007/SRR6468507
PRJNA400072	SAMN08049764	SRX3558836	SRR6468508	408170	human gut metagenome	G72703	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468508/SRR6468508.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468508/SRR6468508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468508/SRR6468508_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/008/SRR6468508
PRJNA400072	SAMN08049763	SRX3558835	SRR6468509	408170	human gut metagenome	G72702	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468509/SRR6468509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468509/SRR6468509_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/009/SRR6468509
PRJNA400072	SAMN08049766	SRX3558834	SRR6468510	408170	human gut metagenome	G72705	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468510/SRR6468510.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468510/SRR6468510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468510/SRR6468510_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/000/SRR6468510
PRJNA400072	SAMN08049765	SRX3558833	SRR6468511	408170	human gut metagenome	G72704	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468511/SRR6468511.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468511/SRR6468511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468511/SRR6468511_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/001/SRR6468511
PRJNA400072	SAMN08049768	SRX3558832	SRR6468512	408170	human gut metagenome	G72706	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468512/SRR6468512.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468512/SRR6468512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468512/SRR6468512_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/002/SRR6468512
PRJNA400072	SAMN08049767	SRX3558831	SRR6468513	408170	human gut metagenome	G72713	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468513/SRR6468513.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468513/SRR6468513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468513/SRR6468513_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/003/SRR6468513
PRJNA400072	SAMN08049802	SRX3558830	SRR6468514	408170	human gut metagenome	G85230	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468514/SRR6468514.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468514/SRR6468514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468514/SRR6468514_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/004/SRR6468514
PRJNA400072	SAMN08049803	SRX3558829	SRR6468515	408170	human gut metagenome	G85401	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468515/SRR6468515.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468515/SRR6468515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468515/SRR6468515_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/005/SRR6468515
PRJNA400072	SAMN08049804	SRX3558828	SRR6468516	408170	human gut metagenome	G85373	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468516/SRR6468516.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468516/SRR6468516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468516/SRR6468516_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/006/SRR6468516
PRJNA400072	SAMN08049805	SRX3558827	SRR6468517	408170	human gut metagenome	G85163	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468517/SRR6468517.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468517/SRR6468517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468517/SRR6468517_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/007/SRR6468517
PRJNA400072	SAMN08049806	SRX3558826	SRR6468518	408170	human gut metagenome	G85369	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468518/SRR6468518.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468518/SRR6468518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468518/SRR6468518_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/008/SRR6468518
PRJNA400072	SAMN08049807	SRX3558825	SRR6468519	408170	human gut metagenome	G85385	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468519/SRR6468519.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468519/SRR6468519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468519/SRR6468519_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/009/SRR6468519
PRJNA400072	SAMN08049681	SRX3558824	SRR6468520	408170	human gut metagenome	G36392	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468520/SRR6468520.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468520/SRR6468520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468520/SRR6468520_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/000/SRR6468520
PRJNA400072	SAMN08049680	SRX3558823	SRR6468521	408170	human gut metagenome	G36385	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468521/SRR6468521.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468521/SRR6468521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468521/SRR6468521_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/001/SRR6468521
PRJNA400072	SAMN08049679	SRX3558822	SRR6468522	408170	human gut metagenome	G48783	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468522/SRR6468522.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468522/SRR6468522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468522/SRR6468522_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/002/SRR6468522
PRJNA400072	SAMN08049678	SRX3558821	SRR6468523	408170	human gut metagenome	G48798	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468523/SRR6468523.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468523/SRR6468523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468523/SRR6468523_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/003/SRR6468523
PRJNA400072	SAMN08049685	SRX3558820	SRR6468524	408170	human gut metagenome	G72681	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468524/SRR6468524.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468524/SRR6468524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468524/SRR6468524_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/004/SRR6468524
PRJNA400072	SAMN08049684	SRX3558819	SRR6468525	408170	human gut metagenome	G48827	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468525/SRR6468525.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468525/SRR6468525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468525/SRR6468525_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/005/SRR6468525
PRJNA400072	SAMN08049683	SRX3558818	SRR6468526	408170	human gut metagenome	G36372	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468526/SRR6468526.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468526/SRR6468526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468526/SRR6468526_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/006/SRR6468526
PRJNA400072	SAMN08049682	SRX3558817	SRR6468527	408170	human gut metagenome	G36357	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468527/SRR6468527.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468527/SRR6468527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468527/SRR6468527_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/007/SRR6468527
PRJNA400072	SAMN08049661	SRX3558816	SRR6468528	408170	human gut metagenome	G72731	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468528/SRR6468528.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468528/SRR6468528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468528/SRR6468528_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/008/SRR6468528
PRJNA400072	SAMN08049687	SRX3558815	SRR6468529	408170	human gut metagenome	G72683	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468529/SRR6468529.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468529/SRR6468529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468529/SRR6468529_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/009/SRR6468529
PRJNA400072	SAMN08049686	SRX3558814	SRR6468530	408170	human gut metagenome	G72682	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468530/SRR6468530.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468530/SRR6468530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468530/SRR6468530_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/000/SRR6468530
PRJNA400072	SAMN08049789	SRX3558813	SRR6468531	408170	human gut metagenome	G85379	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468531/SRR6468531.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468531/SRR6468531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468531/SRR6468531_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/001/SRR6468531
PRJNA400072	SAMN08049788	SRX3558812	SRR6468532	408170	human gut metagenome	G85199	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468532/SRR6468532.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468532/SRR6468532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468532/SRR6468532_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/002/SRR6468532
PRJNA400072	SAMN08049783	SRX3558811	SRR6468533	408170	human gut metagenome	G85117	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468533/SRR6468533.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468533/SRR6468533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468533/SRR6468533_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/003/SRR6468533
PRJNA400072	SAMN08049782	SRX3558810	SRR6468534	408170	human gut metagenome	G85185	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468534/SRR6468534.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468534/SRR6468534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468534/SRR6468534_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/004/SRR6468534
PRJNA400072	SAMN08049781	SRX3558809	SRR6468535	408170	human gut metagenome	G85384	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468535/SRR6468535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468535/SRR6468535_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/005/SRR6468535
PRJNA400072	SAMN08049780	SRX3558808	SRR6468536	408170	human gut metagenome	G85127	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468536/SRR6468536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468536/SRR6468536_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/006/SRR6468536
PRJNA400072	SAMN08049787	SRX3558807	SRR6468537	408170	human gut metagenome	G85364	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468537/SRR6468537.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468537/SRR6468537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468537/SRR6468537_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/007/SRR6468537
PRJNA400072	SAMN08049786	SRX3558806	SRR6468538	408170	human gut metagenome	G85246	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468538/SRR6468538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468538/SRR6468538_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/008/SRR6468538
PRJNA400072	SAMN08049785	SRX3558805	SRR6468539	408170	human gut metagenome	G85404	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468539/SRR6468539.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468539/SRR6468539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468539/SRR6468539_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/009/SRR6468539
PRJNA400072	SAMN08049784	SRX3558804	SRR6468540	408170	human gut metagenome	G85182	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468540/SRR6468540.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468540/SRR6468540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468540/SRR6468540_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/000/SRR6468540
PRJNA400072	SAMN08049834	SRX3558803	SRR6468541	408170	human gut metagenome	G82698	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468541/SRR6468541.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468541/SRR6468541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468541/SRR6468541_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/001/SRR6468541
PRJNA400072	SAMN08049835	SRX3558802	SRR6468542	408170	human gut metagenome	G83913	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468542/SRR6468542.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468542/SRR6468542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468542/SRR6468542_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/002/SRR6468542
PRJNA400072	SAMN08049836	SRX3558801	SRR6468543	408170	human gut metagenome	G82666	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468543/SRR6468543.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468543/SRR6468543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468543/SRR6468543_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/003/SRR6468543
PRJNA400072	SAMN08049837	SRX3558800	SRR6468544	408170	human gut metagenome	G82589	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468544/SRR6468544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468544/SRR6468544_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/004/SRR6468544
PRJNA400072	SAMN08049830	SRX3558799	SRR6468545	408170	human gut metagenome	G82738	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468545/SRR6468545.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468545/SRR6468545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468545/SRR6468545_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/005/SRR6468545
PRJNA400072	SAMN08049831	SRX3558798	SRR6468546	408170	human gut metagenome	G83335	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468546/SRR6468546.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468546/SRR6468546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468546/SRR6468546_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/006/SRR6468546
PRJNA400072	SAMN08049832	SRX3558797	SRR6468547	408170	human gut metagenome	G82708	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468547/SRR6468547.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468547/SRR6468547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468547/SRR6468547_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/007/SRR6468547
PRJNA400072	SAMN08049833	SRX3558796	SRR6468548	408170	human gut metagenome	G83327	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468548/SRR6468548.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468548/SRR6468548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468548/SRR6468548_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/008/SRR6468548
PRJNA400072	SAMN08049838	SRX3558795	SRR6468549	408170	human gut metagenome	G82786	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468549/SRR6468549.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468549/SRR6468549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468549/SRR6468549_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/009/SRR6468549
PRJNA400072	SAMN08049839	SRX3558794	SRR6468550	408170	human gut metagenome	G83901	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468550/SRR6468550.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468550/SRR6468550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468550/SRR6468550_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/000/SRR6468550
PRJNA400072	SAMN08049817	SRX3558793	SRR6468551	408170	human gut metagenome	G85166	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468551/SRR6468551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468551/SRR6468551_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/001/SRR6468551
PRJNA400072	SAMN08049816	SRX3558792	SRR6468552	408170	human gut metagenome	G85405	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468552/SRR6468552.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468552/SRR6468552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468552/SRR6468552_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/002/SRR6468552
PRJNA400072	SAMN08049815	SRX3558791	SRR6468553	408170	human gut metagenome	G85136	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468553/SRR6468553.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468553/SRR6468553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468553/SRR6468553_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/003/SRR6468553
